Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;"Latência da Tentativa (seg)";"Latência da Tarefa (seg)";Resultado;"Latência do Repertório (seg)";Acertos;Erros
20150413/08/08;1;AE;fi-ta;va-ca;fi;1;"53,895";"53,895";errado;"938,854";41;25
;2;CB;apito;tubo/bico/pipa;apito;1;"5,651";"5,651";correto;"";;
;3;AB;fita;tatu;fita;1;"4,876";"4,876";correto;"";;
;4;CB;bolo;cavalo/tomate;bolo;1;"4,73";"4,73";correto;"";;
;5;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muta;1;"46,484";"46,484";errado;"";;
;6;AB;bolo;vaca/fita;bolo;1;"6,795";"6,795";correto;"";;
;7;BE;fi-ta;ta-tu;fita;1;"15,97";"15,97";correto;"";;
;8;AC;apito;bico/pipa;bico;1;"22,234";"22,234";errado;"";;
;9;BE;ca-va-lo;lu-va;cava;1;"9,156";"9,156";errado;"";;
;10;CE;fi-ta;vo-vô;fita;1;"11,277";"11,277";correto;"";;
;11;AB;muleta;mala/tomate/apito;muleta;1;"2,473";"2,473";correto;"";;
;12;BC;pato;vaca;pato;1;"3,578";"3,578";correto;"";;
;13;AB;cavalo;luva/vovô/bico;cavalo;1;"4,015";"4,015";correto;"";;
;14;AC;bolo;pipa/vovô;bolo;1;"0,368";"0,368";correto;"";;
;15;CE;pa-to;tu-bo;pato;1;"19,531";"19,531";correto;"";;
;16;AB;apito;tomate/cavalo/bolo;apito;1;"1,858";"1,858";correto;"";;
;17;AE;ca-va-lo;pa-to/lu-va/tu-bo;cava;1;"13,244";"13,244";errado;"";;
;18;AE;a-pi-to;fi-ta;;1;"0,299";"0,299";errado;"";;
;19;BE;bo-lo;ma-la;bolo;1;"11,737";"11,737";correto;"";;
;20;BE;fi-ta;ma-la;fita;1;"15,649";"15,649";correto;"";;
;21;AC;muleta;luva/mala/apito;muleta;1;"4,118";"4,118";correto;"";;
;22;AC;apito;pato/cavalo/bolo;cavalo;1;"3,025";"3,025";errado;"";;
;23;BC;fita;tatu/tomate;fita;1;"8,681";"8,681";correto;"";;
;24;BC;muleta;mala;muleta;1;"4,087";"4,087";correto;"";;
;25;AB;bolo;tubo;bolo;1;"12,339";"12,339";correto;"";;
;26;AE;ca-va-lo;bi-co;caco;1;"11,394";"11,394";errado;"";;
;27;AE;fi-ta;va-ca/a-pi-to/ma-la;fita;1;"18,458";"18,458";correto;"";;
;28;AE;pa-to;ta-tu;pata;1;"31,548";"31,548";errado;"";;
;29;AC;pato;apito/fita;pato;1;"4,556";"4,556";correto;"";;
;30;BC;bolo;vaca/cavalo;bolo;1;"6,473";"6,473";correto;"";;
;31;AE;mu-le-ta;tu-bo;tule;1;"19,314";"19,314";errado;"";;
;32;AE;bo-lo;pa-to;bolo;1;"8,04";"8,04";correto;"";;
;33;BE;pa-to;ca-va-lo;pato;1;"15,029";"15,029";correto;"";;
;34;CB;cavalo;fita/vaca/bolo;cavalo;1;"4,351";"4,351";correto;"";;
;35;CB;muleta;mala/fita/tomate;muleta;1;"21,417";"21,417";correto;"";;
;36;BE;ca-va-lo;tu-bo/bo-lo;cava;1;"16,914";"16,914";errado;"";;
;37;AB;cavalo;tubo/luva;cavalo;1;"45,14";"45,14";correto;"";;
;38;BE;pa-to;va-ca/vo-vô;pato;1;"63,986";"63,986";correto;"";;
;39;AC;fita;bolo/tatu;fita;1;"3,809";"3,809";correto;"";;
;40;AB;muleta;cavalo/apito;muleta;1;"8,251";"8,251";correto;"";;
;41;BC;cavalo;tomate;cavalo;1;"4,433";"4,433";correto;"";;
;42;AC;fita;tubo/luva/vaca;fita;1;"3,091";"3,091";correto;"";;
;43;AB;pato;vaca;pato;1;"2,524";"2,524";correto;"";;
;44;AC;bolo;luva/bico/tomate;bolo;1;"2,386";"2,386";correto;"";;
;45;BE;a-pi-to;tu-bo/pa-to;papi;1;"27,478";"27,478";errado;"";;
;46;CE;a-pi-to;ma-la;apito;1;"56,079";"56,079";correto;"";;
;47;AC;cavalo;tomate/pato/bico;cavalo;1;"3,438";"3,438";correto;"";;
;48;AC;muleta;tubo/fita;tubo;1;"3,403";"3,403";errado;"";;
;49;CB;pato;tubo/tomate/luva;tomate;1;"10,111";"10,111";errado;"";;
;50;AC;pato;apito/muleta/bolo;pato;1;"1,59";"1,59";correto;"";;
;51;AE;mu-le-ta;vo-vô/ma-la/bo-lo;mula;1;"16,16";"16,16";errado;"";;
;52;CB;fita;vovô/pipa;pipa;1;"4,207";"4,207";errado;"";;
;53;AE;pa-to;pi-pa;pito;1;"9,918";"9,918";errado;"";;
;54;CE;ca-va-lo;pi-pa/mu-le-ta;cavalo;1;"42,374";"42,374";correto;"";;
;55;AB;pato;mala/vaca/bolo;pato;1;"4,542";"4,542";correto;"";;
;56;CE;bo-lo;va-ca;bolo;1;"15,037";"15,037";correto;"";;
;57;BE;a-pi-to;fi-ta;fia;1;"7,878";"7,878";errado;"";;
;58;BC;apito;fita;fita;1;"2,904";"2,904";errado;"";;
;59;AE;a-pi-to;bi-co;a;1;"20,075";"20,075";errado;"";;
;60;BE;bo-lo;vo-vô;lo;1;"10,36";"10,36";errado;"";;
;61;AB;apito;luva;apito;1;"2,573";"2,573";correto;"";;
;62;AC;cavalo;muleta/vaca;vaca;1;"4,309";"4,309";errado;"";;
;63;BE;mu-le-ta;a-pi-to;muto;1;"37,993";"37,993";errado;"";;
;64;BE;mu-le-ta;lu-va/pi-pa;mu;1;"10,714";"10,714";errado;"";;
;65;AB;fita;apito/muleta;fita;1;"35,122";"35,122";correto;"";;
;66;AE;bo-lo;bi-co/pi-pa/vo-vô;lovo;1;"35,405";"35,405";errado;"";;
