Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;"Latência da Tentativa (seg)";"Latência da Tarefa (seg)";Resultado;"Latência do Repertório (seg)";Acertos;Erros
20150413/08/25;1;AE;fi-ta;va-ca;fita;1;"39,662";"39,662";correto;"541,959";64;2
;2;CB;apito;tubo/bico/pipa;apito;1;"4,379";"4,379";correto;"";;
;3;AB;fita;tatu;fita;1;"4,347";"4,347";correto;"";;
;4;CB;bolo;cavalo/tomate;bolo;1;"2,673";"2,673";correto;"";;
;5;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muleta;1;"30,423";"30,423";correto;"";;
;6;AB;bolo;vaca/fita;bolo;1;"2,191";"2,191";correto;"";;
;7;BE;fi-ta;ta-tu;fita;1;"9,646";"9,646";correto;"";;
;8;AC;apito;bico/pipa;apito;1;"5,16";"5,16";correto;"";;
;9;BE;ca-va-lo;lu-va;cavalo;1;"10,243";"10,243";correto;"";;
;10;CE;fi-ta;vo-vô;fita;1;"8,267";"8,267";correto;"";;
;11;AB;muleta;mala/tomate/apito;muleta;1;"2,732";"2,732";correto;"";;
;12;BC;pato;vaca;pato;1;"2,799";"2,799";correto;"";;
;13;AB;cavalo;luva/vovô/bico;cavalo;1;"2,201";"2,201";correto;"";;
;14;AC;bolo;pipa/vovô;bolo;1;"1,704";"1,704";correto;"";;
;15;CE;pa-to;tu-bo;pato;1;"7,902";"7,902";correto;"";;
;16;AB;apito;tomate/cavalo/bolo;apito;1;"8,816";"8,816";correto;"";;
;17;AE;ca-va-lo;pa-to/lu-va/tu-bo;cavalo;1;"17,947";"17,947";correto;"";;
;18;AE;a-pi-to;fi-ta;apito;1;"15,655";"15,655";correto;"";;
;19;BE;bo-lo;ma-la;bolo;1;"8,866";"8,866";correto;"";;
;20;BE;fi-ta;ma-la;fita;1;"10,155";"10,155";correto;"";;
;21;AC;muleta;luva/mala/apito;muleta;1;"13,846";"13,846";correto;"";;
;22;AC;apito;pato/cavalo/bolo;apito;1;"4,813";"4,813";correto;"";;
;23;BC;fita;tatu/tomate;fita;1;"5,434";"5,434";correto;"";;
;24;BC;muleta;mala;muleta;1;"3,039";"3,039";correto;"";;
;25;AB;bolo;tubo;bolo;1;"4,516";"4,516";correto;"";;
;26;AE;ca-va-lo;bi-co;cavalo;1;"7,474";"7,474";correto;"";;
;27;AE;fi-ta;va-ca/a-pi-to/ma-la;fita;1;"6,891";"6,891";correto;"";;
;28;AE;pa-to;ta-tu;pato;1;"6,609";"6,609";correto;"";;
;29;AC;pato;apito/fita;pato;1;"2,966";"2,966";correto;"";;
;30;BC;bolo;vaca/cavalo;bolo;1;"2,383";"2,383";correto;"";;
;31;AE;mu-le-ta;tu-bo;muleta;1;"9,802";"9,802";correto;"";;
;32;AE;bo-lo;pa-to;bolo;1;"27,577";"27,577";correto;"";;
;33;BE;pa-to;ca-va-lo;pato;1;"4,925";"4,925";correto;"";;
;34;CB;cavalo;fita/vaca/bolo;vaca;1;"2,72";"2,72";errado;"";;
;35;CB;muleta;mala/fita/tomate;muleta;1;"3,03";"3,03";correto;"";;
;36;BE;ca-va-lo;tu-bo/bo-lo;cavalo;1;"8,544";"8,544";correto;"";;
;37;AB;cavalo;tubo/luva;cavalo;1;"4,854";"4,854";correto;"";;
;38;BE;pa-to;va-ca/vo-vô;pato;1;"10,471";"10,471";correto;"";;
;39;AC;fita;bolo/tatu;fita;1;"2,264";"2,264";correto;"";;
;40;AB;muleta;cavalo/apito;muleta;1;"3,092";"3,092";correto;"";;
;41;BC;cavalo;tomate;cavalo;1;"4,358";"4,358";correto;"";;
;42;AC;fita;tubo/luva/vaca;fita;1;"1,992";"1,992";correto;"";;
;43;AB;pato;vaca;pato;1;"3,464";"3,464";correto;"";;
;44;AC;bolo;luva/bico/tomate;bolo;1;"6,044";"6,044";correto;"";;
;45;BE;a-pi-to;tu-bo/pa-to;apito;1;"12,137";"12,137";correto;"";;
;46;CE;a-pi-to;ma-la;;1;"1,897";"1,897";errado;"";;
;47;AC;cavalo;tomate/pato/bico;cavalo;1;"4,564";"4,564";correto;"";;
;48;AC;muleta;tubo/fita;muleta;1;"2,903";"2,903";correto;"";;
;49;CB;pato;tubo/tomate/luva;pato;1;"3,711";"3,711";correto;"";;
;50;AC;pato;apito/muleta/bolo;pato;1;"2,628";"2,628";correto;"";;
;51;AE;mu-le-ta;vo-vô/ma-la/bo-lo;muleta;1;"10,995";"10,995";correto;"";;
;52;CB;fita;vovô/pipa;fita;1;"4,283";"4,283";correto;"";;
;53;AE;pa-to;pi-pa;pato;1;"11,127";"11,127";correto;"";;
;54;CE;ca-va-lo;pi-pa/mu-le-ta;cavalo;1;"24,318";"24,318";correto;"";;
;55;AB;pato;mala/vaca/bolo;pato;1;"3,166";"3,166";correto;"";;
;56;CE;bo-lo;va-ca;bolo;1;"9,912";"9,912";correto;"";;
;57;BE;a-pi-to;fi-ta;apito;1;"14,249";"14,249";correto;"";;
;58;BC;apito;fita;apito;1;"3,435";"3,435";correto;"";;
;59;AE;a-pi-to;bi-co;apito;1;"15,811";"15,811";correto;"";;
;60;BE;bo-lo;vo-vô;bolo;1;"7,174";"7,174";correto;"";;
;61;AB;apito;luva;apito;1;"2,727";"2,727";correto;"";;
;62;AC;cavalo;muleta/vaca;cavalo;1;"2,137";"2,137";correto;"";;
;63;BE;mu-le-ta;a-pi-to;muleta;1;"14,591";"14,591";correto;"";;
;64;BE;mu-le-ta;lu-va/pi-pa;muleta;1;"23,599";"23,599";correto;"";;
;65;AB;fita;apito/muleta;fita;1;"3,662";"3,662";correto;"";;
;66;AE;bo-lo;bi-co/pi-pa/vo-vô;bolo;1;"16,057";"16,057";correto;"";;
