Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;"Latência da Tentativa (seg)";"Latência da Tarefa (seg)";Resultado;"Latência do Repertório (seg)";Acertos;Erros
20150506/08/51;1;AE;fi-ta;va-ca;fita;1;"62,239";"62,239";correto;"736,479";64;2
;2;CB;apito;tubo/bico/pipa;apito;1;"16,897";"16,897";correto;"";;
;3;AB;fita;tatu;fita;1;"5,105";"5,105";correto;"";;
;4;CB;bolo;cavalo/tomate;bolo;1;"9,253";"9,253";correto;"";;
;5;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muleta;1;"22,955";"22,955";correto;"";;
;6;AB;bolo;vaca/fita;bolo;1;"3,512";"3,512";correto;"";;
;7;BE;fi-ta;ta-tu;fita;1;"21,046";"21,046";correto;"";;
;8;AC;apito;bico/pipa;apito;1;"5,211";"5,211";correto;"";;
;9;BE;ca-va-lo;lu-va;cavalo;1;"22,325";"22,325";correto;"";;
;10;CE;fi-ta;vo-vô;fita;1;"12,351";"12,351";correto;"";;
;11;AB;muleta;mala/tomate/apito;muleta;1;"5,972";"5,972";correto;"";;
;12;BC;pato;vaca;pato;1;"8,344";"8,344";correto;"";;
;13;AB;cavalo;luva/vovô/bico;cavalo;1;"5,005";"5,005";correto;"";;
;14;AC;bolo;pipa/vovô;bolo;1;"5,371";"5,371";correto;"";;
;15;CE;pa-to;tu-bo;pato;1;"19,688";"19,688";correto;"";;
;16;AB;apito;tomate/cavalo/bolo;apito;1;"9,574";"9,574";correto;"";;
;17;AE;ca-va-lo;pa-to/lu-va/tu-bo;cavalo;1;"19,592";"19,592";correto;"";;
;18;AE;a-pi-to;fi-ta;apito;1;"18,631";"18,631";correto;"";;
;19;BE;bo-lo;ma-la;bolo;1;"17,395";"17,395";correto;"";;
;20;BE;fi-ta;ma-la;fita;1;"11,784";"11,784";correto;"";;
;21;AC;muleta;luva/mala/apito;muleta;1;"3,445";"3,445";correto;"";;
;22;AC;apito;pato/cavalo/bolo;apito;1;"4,47";"4,47";correto;"";;
;23;BC;fita;tatu/tomate;fita;1;"9,866";"9,866";correto;"";;
;24;BC;muleta;mala;muleta;1;"8,935";"8,935";correto;"";;
;25;AB;bolo;tubo;bolo;1;"4,174";"4,174";correto;"";;
;26;AE;ca-va-lo;bi-co;cavalo;1;"14,422";"14,422";correto;"";;
;27;AE;fi-ta;va-ca/a-pi-to/ma-la;fita;1;"15,339";"15,339";correto;"";;
;28;AE;pa-to;ta-tu;pato;1;"11,742";"11,742";correto;"";;
;29;AC;pato;apito/fita;pato;1;"5,752";"5,752";correto;"";;
;30;BC;bolo;vaca/cavalo;bolo;1;"5,931";"5,931";correto;"";;
;31;AE;mu-le-ta;tu-bo;muleta;1;"12,518";"12,518";correto;"";;
;32;AE;bo-lo;pa-to;bolo;1;"10,072";"10,072";correto;"";;
;33;BE;pa-to;ca-va-lo;pato;1;"12,734";"12,734";correto;"";;
;34;CB;cavalo;fita/vaca/bolo;cavalo;1;"11,102";"11,102";correto;"";;
;35;CB;muleta;mala/fita/tomate;muleta;1;"4,086";"4,086";correto;"";;
;36;BE;ca-va-lo;tu-bo/bo-lo;cavalo;1;"16,541";"16,541";correto;"";;
;37;AB;cavalo;tubo/luva;cavalo;1;"3,025";"3,025";correto;"";;
;38;BE;pa-to;va-ca/vo-vô;pato;1;"15,323";"15,323";correto;"";;
;39;AC;fita;bolo/tatu;fita;1;"3,256";"3,256";correto;"";;
;40;AB;muleta;cavalo/apito;muleta;1;"3,365";"3,365";correto;"";;
;41;BC;cavalo;tomate;cavalo;1;"2,985";"2,985";correto;"";;
;42;AC;fita;tubo/luva/vaca;fita;1;"4,32";"4,32";correto;"";;
;43;AB;pato;vaca;pato;1;"3,011";"3,011";correto;"";;
;44;AC;bolo;luva/bico/tomate;bolo;1;"3,622";"3,622";correto;"";;
;45;BE;a-pi-to;tu-bo/pa-to;;1;"1,879";"1,879";errado;"";;
;46;CE;a-pi-to;ma-la;apito;1;"35,385";"35,385";correto;"";;
;47;AC;cavalo;tomate/pato/bico;cavalo;1;"5,463";"5,463";correto;"";;
;48;AC;muleta;tubo/fita;muleta;1;"3,311";"3,311";correto;"";;
;49;CB;pato;tubo/tomate/luva;pato;1;"14,231";"14,231";correto;"";;
;50;AC;pato;apito/muleta/bolo;pato;1;"3,567";"3,567";correto;"";;
;51;AE;mu-le-ta;vo-vô/ma-la/bo-lo;muleta;1;"21,53";"21,53";correto;"";;
;52;CB;fita;vovô/pipa;fita;1;"5,517";"5,517";correto;"";;
;53;AE;pa-to;pi-pa;pato;1;"9,197";"9,197";correto;"";;
;54;CE;ca-va-lo;pi-pa/mu-le-ta;cavalo;1;"18,042";"18,042";correto;"";;
;55;AB;pato;mala/vaca/bolo;pato;1;"2,462";"2,462";correto;"";;
;56;CE;bo-lo;va-ca;bolo;1;"12,733";"12,733";correto;"";;
;57;BE;a-pi-to;fi-ta;apito;1;"14,327";"14,327";correto;"";;
;58;BC;apito;fita;apito;1;"5,489";"5,489";correto;"";;
;59;AE;a-pi-to;bi-co;apito;1;"13,422";"13,422";correto;"";;
;60;BE;bo-lo;vo-vô;bolo;1;"15,74";"15,74";correto;"";;
;61;AB;apito;luva;apito;1;"2,026";"2,026";correto;"";;
;62;AC;cavalo;muleta/vaca;cavalo;1;"3,222";"3,222";correto;"";;
;63;BE;mu-le-ta;a-pi-to;amuleta;1;"15,569";"15,569";errado;"";;
;64;BE;mu-le-ta;lu-va/pi-pa;muleta;1;"22,378";"22,378";correto;"";;
;65;AB;fita;apito/muleta;fita;1;"3,496";"3,496";correto;"";;
;66;AE;bo-lo;bi-co/pi-pa/vo-vô;bolo;1;"15,207";"15,207";correto;"";;
