Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;Latência da Tentativa (seg);Latência da Tarefa (seg);Resultado;Latência do Repertório (seg);Acertos;Erros
20150611/09/59;1;AE;fi-ta;va-ca;fita;1;14,343;14,343;correto;443,705;63;3
;2;CB;apito;tubo/bico/pipa;apito;1;7,6;7,6;correto;;;
;3;AB;fita;tatu;fita;1;3,47;3,47;correto;;;
;4;CB;bolo;cavalo/tomate;bolo;1;3,215;3,215;correto;;;
;5;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muleta;1;40,777;40,777;correto;;;
;6;AB;bolo;vaca/fita;bolo;1;10,303;10,303;correto;;;
;7;BE;fi-ta;ta-tu;fita;1;8,497;8,497;correto;;;
;8;AC;apito;bico/pipa;apito;1;3,919;3,919;correto;;;
;9;BE;ca-va-lo;lu-va;cavalo;1;15,066;15,066;correto;;;
;10;CE;fi-ta;vo-vô;;1;0,402;0,402;errado;;;
;11;AB;muleta;mala/tomate/apito;muleta;1;6,233;6,233;correto;;;
;12;BC;pato;vaca;pato;1;2,086;2,086;correto;;;
;13;AB;cavalo;luva/vovô/bico;cavalo;1;3,679;3,679;correto;;;
;14;AC;bolo;pipa/vovô;bolo;1;2,702;2,702;correto;;;
;15;CE;pa-to;tu-bo;pato;1;8,982;8,982;correto;;;
;16;AB;apito;tomate/cavalo/bolo;apito;1;2,847;2,847;correto;;;
;17;AE;ca-va-lo;pa-to/lu-va/tu-bo;cavalo;1;9,573;9,573;correto;;;
;18;AE;a-pi-to;fi-ta;apito;1;16,103;16,103;correto;;;
;19;BE;bo-lo;ma-la;bolo;1;5,812;5,812;correto;;;
;20;BE;fi-ta;ma-la;fita;1;9,657;9,657;correto;;;
;21;AC;muleta;luva/mala/apito;muleta;1;5,767;5,767;correto;;;
;22;AC;apito;pato/cavalo/bolo;apito;1;4,046;4,046;correto;;;
;23;BC;fita;tatu/tomate;fita;1;2,36;2,36;correto;;;
;24;BC;muleta;mala;muleta;1;2,543;2,543;correto;;;
;25;AB;bolo;tubo;bolo;1;2,357;2,357;correto;;;
;26;AE;ca-va-lo;bi-co;cava;1;7,599;7,599;errado;;;
;27;AE;fi-ta;va-ca/a-pi-to/ma-la;fita;1;7,853;7,853;correto;;;
;28;AE;pa-to;ta-tu;pato;1;12,458;12,458;correto;;;
;29;AC;pato;apito/fita;pato;1;2,254;2,254;correto;;;
;30;BC;bolo;vaca/cavalo;bolo;1;1,543;1,543;correto;;;
;31;AE;mu-le-ta;tu-bo;muleta;1;22,339;22,339;correto;;;
;32;AE;bo-lo;pa-to;bolo;1;5,602;5,602;correto;;;
;33;BE;pa-to;ca-va-lo;pato;1;7,661;7,661;correto;;;
;34;CB;cavalo;fita/vaca/bolo;cavalo;1;1,855;1,855;correto;;;
;35;CB;muleta;mala/fita/tomate;muleta;1;2,595;2,595;correto;;;
;36;BE;ca-va-lo;tu-bo/bo-lo;cavalo;1;8,095;8,095;correto;;;
;37;AB;cavalo;tubo/luva;cavalo;1;2,315;2,315;correto;;;
;38;BE;pa-to;va-ca/vo-vô;pato;1;4,159;4,159;correto;;;
;39;AC;fita;bolo/tatu;fita;1;2,194;2,194;correto;;;
;40;AB;muleta;cavalo/apito;muleta;1;3,606;3,606;correto;;;
;41;BC;cavalo;tomate;cavalo;1;2,191;2,191;correto;;;
;42;AC;fita;tubo/luva/vaca;fita;1;3,047;3,047;correto;;;
;43;AB;pato;vaca;pato;1;2,382;2,382;correto;;;
;44;AC;bolo;luva/bico/tomate;bolo;1;1,622;1,622;correto;;;
;45;BE;a-pi-to;tu-bo/pa-to;apito;1;7,71;7,71;correto;;;
;46;CE;a-pi-to;ma-la;apito;1;27,573;27,573;correto;;;
;47;AC;cavalo;tomate/pato/bico;cavalo;1;1,707;1,707;correto;;;
;48;AC;muleta;tubo/fita;muleta;1;2,406;2,406;correto;;;
;49;CB;pato;tubo/tomate/luva;pato;1;3,486;3,486;correto;;;
;50;AC;pato;apito/muleta/bolo;pato;1;3,047;3,047;correto;;;
;51;AE;mu-le-ta;vo-vô/ma-la/bo-lo;muleta;1;12,018;12,018;correto;;;
;52;CB;fita;vovô/pipa;fita;1;3,774;3,774;correto;;;
;53;AE;pa-to;pi-pa;pato;1;6,413;6,413;correto;;;
;54;CE;ca-va-lo;pi-pa/mu-le-ta;cavalo;1;10,365;10,365;correto;;;
;55;AB;pato;mala/vaca/bolo;pato;1;2,112;2,112;correto;;;
;56;CE;bo-lo;va-ca;bolo;1;9,551;9,551;correto;;;
;57;BE;a-pi-to;fi-ta;apito;1;10,047;10,047;correto;;;
;58;BC;apito;fita;apito;1;1,619;1,619;correto;;;
;59;AE;a-pi-to;bi-co;apito;1;9,646;9,646;correto;;;
;60;BE;bo-lo;vo-vô;bolo;1;9,024;9,024;correto;;;
;61;AB;apito;luva;apito;1;1,678;1,678;correto;;;
;62;AC;cavalo;muleta/vaca;cavalo;1;2,342;2,342;correto;;;
;63;BE;mu-le-ta;a-pi-to;mule;1;9,383;9,383;errado;;;
;64;BE;mu-le-ta;lu-va/pi-pa;muleta;1;9,001;9,001;correto;;;
;65;AB;fita;apito/muleta;fita;1;2,136;2,136;correto;;;
;66;AE;bo-lo;bi-co/pi-pa/vo-vô;bolo;1;4,958;4,958;correto;;;
