Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;"Latência da Tentativa (seg)";"Latência da Tarefa (seg)";Resultado;"Latência do Repertório (seg)";Acertos;Erros
20150416/08/43;1;AE;fi-ta;va-ca;fita;1;"13,966";"13,966";correto;"644,522";52;14
;2;CB;apito;tubo/bico/pipa;bico;1;"11,838";"11,838";errado;"";;
;3;AB;fita;tatu;fita;1;"2,422";"2,422";correto;"";;
;4;CB;bolo;cavalo/tomate;bolo;1;"5,498";"5,498";correto;"";;
;5;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muleta;1;"16,007";"16,007";correto;"";;
;6;AB;bolo;vaca/fita;bolo;1;"9,096";"9,096";correto;"";;
;7;BE;fi-ta;ta-tu;fita;1;"21,525";"21,525";correto;"";;
;8;AC;apito;bico/pipa;pipa;1;"19,542";"19,542";errado;"";;
;9;BE;ca-va-lo;lu-va;cavalo;1;"13,094";"13,094";correto;"";;
;10;CE;fi-ta;vo-vô;fita;1;"6,364";"6,364";correto;"";;
;11;AB;muleta;mala/tomate/apito;muleta;1;"6,761";"6,761";correto;"";;
;12;BC;pato;vaca;pato;1;"4,634";"4,634";correto;"";;
;13;AB;cavalo;luva/vovô/bico;cavalo;1;"3,035";"3,035";correto;"";;
;14;AC;bolo;pipa/vovô;bolo;1;"6,06";"6,06";correto;"";;
;15;CE;pa-to;tu-bo;patu;1;"7,504";"7,504";errado;"";;
;16;AB;apito;tomate/cavalo/bolo;apito;1;"2,407";"2,407";correto;"";;
;17;AE;ca-va-lo;pa-to/lu-va/tu-bo;cavalo;1;"23,354";"23,354";correto;"";;
;18;AE;a-pi-to;fi-ta;pito;1;"54,32";"54,32";errado;"";;
;19;BE;bo-lo;ma-la;bolo;1;"8,111";"8,111";correto;"";;
;20;BE;fi-ta;ma-la;fita;1;"16,802";"16,802";correto;"";;
;21;AC;muleta;luva/mala/apito;muleta;1;"6,278";"6,278";correto;"";;
;22;AC;apito;pato/cavalo/bolo;apito;1;"4,337";"4,337";correto;"";;
;23;BC;fita;tatu/tomate;fita;1;"7,281";"7,281";correto;"";;
;24;BC;muleta;mala;mala;1;"1,842";"1,842";errado;"";;
;25;AB;bolo;tubo;bolo;1;"1,829";"1,829";correto;"";;
;26;AE;ca-va-lo;bi-co;cavalo;1;"6,668";"6,668";correto;"";;
;27;AE;fi-ta;va-ca/a-pi-to/ma-la;fita;1;"9,976";"9,976";correto;"";;
;28;AE;pa-to;ta-tu;patotu;1;"9,566";"9,566";errado;"";;
;29;AC;pato;apito/fita;pato;1;"2,359";"2,359";correto;"";;
;30;BC;bolo;vaca/cavalo;bolo;1;"2,33";"2,33";correto;"";;
