Data/Hora/Min;Tarefa;Tipo de Tarefa;Modelo;Comparações;Resposta;Tentativas;Latência da Tentativa (seg);Latência da Tarefa (seg);Resultado;Latência do Repertório (seg);Acertos;Erros
20150612/10/21;1;AE;fi-ta;va-ca;fita;1;5,001;5,001;correto;189,501;66;0
;2;CB;apito;tubo/bico/pipa;apito;1;8,093;8,093;correto;;;
;3;AB;fita;tatu;fita;1;2,463;2,463;correto;;;
;4;CB;bolo;cavalo/tomate;bolo;1;1,814;1,814;correto;;;
;5;CE;mu-le-ta;pa-to/to-ma-te/a-pi-to;muleta;1;4,472;4,472;correto;;;
;6;AB;bolo;vaca/fita;bolo;1;5,389;5,389;correto;;;
;7;BE;fi-ta;ta-tu;fita;1;11,963;11,963;correto;;;
;8;AC;apito;bico/pipa;apito;1;1,778;1,778;correto;;;
;9;BE;ca-va-lo;lu-va;cavalo;1;2,887;2,887;correto;;;
;10;CE;fi-ta;vo-vô;fita;1;9,87;9,87;correto;;;
;11;AB;muleta;mala/tomate/apito;muleta;1;1,534;1,534;correto;;;
;12;BC;pato;vaca;pato;1;0,886;0,886;correto;;;
;13;AB;cavalo;luva/vovô/bico;cavalo;1;1,31;1,31;correto;;;
;14;AC;bolo;pipa/vovô;bolo;1;1,303;1,303;correto;;;
;15;CE;pa-to;tu-bo;pato;1;3,222;3,222;correto;;;
;16;AB;apito;tomate/cavalo/bolo;apito;1;1,231;1,231;correto;;;
;17;AE;ca-va-lo;pa-to/lu-va/tu-bo;cavalo;1;4,9;4,9;correto;;;
;18;AE;a-pi-to;fi-ta;apito;1;6,717;6,717;correto;;;
;19;BE;bo-lo;ma-la;bolo;1;3,134;3,134;correto;;;
;20;BE;fi-ta;ma-la;fita;1;2,238;2,238;correto;;;
;21;AC;muleta;luva/mala/apito;muleta;1;1,639;1,639;correto;;;
;22;AC;apito;pato/cavalo/bolo;apito;1;1,023;1,023;correto;;;
;23;BC;fita;tatu/tomate;fita;1;1,99;1,99;correto;;;
;24;BC;muleta;mala;muleta;1;1,224;1,224;correto;;;
;25;AB;bolo;tubo;bolo;1;1,102;1,102;correto;;;
;26;AE;ca-va-lo;bi-co;cavalo;1;3,151;3,151;correto;;;
;27;AE;fi-ta;va-ca/a-pi-to/ma-la;fita;1;2,517;2,517;correto;;;
;28;AE;pa-to;ta-tu;pato;1;2,421;2,421;correto;;;
;29;AC;pato;apito/fita;pato;1;0,863;0,863;correto;;;
;30;BC;bolo;vaca/cavalo;bolo;1;1,038;1,038;correto;;;
;31;AE;mu-le-ta;tu-bo;muleta;1;2,527;2,527;correto;;;
;32;AE;bo-lo;pa-to;bolo;1;2,349;2,349;correto;;;
;33;BE;pa-to;ca-va-lo;pato;1;3,983;3,983;correto;;;
;34;CB;cavalo;fita/vaca/bolo;cavalo;1;1,293;1,293;correto;;;
;35;CB;muleta;mala/fita/tomate;muleta;1;1,136;1,136;correto;;;
;36;BE;ca-va-lo;tu-bo/bo-lo;cavalo;1;3,742;3,742;correto;;;
;37;AB;cavalo;tubo/luva;cavalo;1;1,615;1,615;correto;;;
;38;BE;pa-to;va-ca/vo-vô;pato;1;4,206;4,206;correto;;;
;39;AC;fita;bolo/tatu;fita;1;4,574;4,574;correto;;;
;40;AB;muleta;cavalo/apito;muleta;1;1,375;1,375;correto;;;
;41;BC;cavalo;tomate;cavalo;1;1,23;1,23;correto;;;
;42;AC;fita;tubo/luva/vaca;fita;1;1,287;1,287;correto;;;
;43;AB;pato;vaca;pato;1;1,071;1,071;correto;;;
;44;AC;bolo;luva/bico/tomate;bolo;1;1,808;1,808;correto;;;
;45;BE;a-pi-to;tu-bo/pa-to;apito;1;5,063;5,063;correto;;;
;46;CE;a-pi-to;ma-la;apito;1;3,341;3,341;correto;;;
;47;AC;cavalo;tomate/pato/bico;cavalo;1;1,366;1,366;correto;;;
;48;AC;muleta;tubo/fita;muleta;1;1,415;1,415;correto;;;
;49;CB;pato;tubo/tomate/luva;pato;1;1,119;1,119;correto;;;
;50;AC;pato;apito/muleta/bolo;pato;1;3,414;3,414;correto;;;
;51;AE;mu-le-ta;vo-vô/ma-la/bo-lo;muleta;1;3,886;3,886;correto;;;
;52;CB;fita;vovô/pipa;fita;1;1,479;1,479;correto;;;
;53;AE;pa-to;pi-pa;pato;1;2,414;2,414;correto;;;
;54;CE;ca-va-lo;pi-pa/mu-le-ta;cavalo;1;4,365;4,365;correto;;;
;55;AB;pato;mala/vaca/bolo;pato;1;0,991;0,991;correto;;;
;56;CE;bo-lo;va-ca;bolo;1;2,782;2,782;correto;;;
;57;BE;a-pi-to;fi-ta;apito;1;3,231;3,231;correto;;;
;58;BC;apito;fita;apito;1;1,846;1,846;correto;;;
;59;AE;a-pi-to;bi-co;apito;1;3,879;3,879;correto;;;
;60;BE;bo-lo;vo-vô;bolo;1;3,541;3,541;correto;;;
;61;AB;apito;luva;apito;1;0,79;0,79;correto;;;
;62;AC;cavalo;muleta/vaca;cavalo;1;1,239;1,239;correto;;;
;63;BE;mu-le-ta;a-pi-to;muleta;1;4,079;4,079;correto;;;
;64;BE;mu-le-ta;lu-va/pi-pa;muleta;1;5,341;5,341;correto;;;
;65;AB;fita;apito/muleta;fita;1;1,133;1,133;correto;;;
;66;AE;bo-lo;bi-co/pi-pa/vo-vô;bolo;1;3,418;3,418;correto;;;
