Tipo de Repertorio;Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
treino;AB;tomate;bico;;;;;;;;;;;;;
treino;AB;tatu;tubo;;;;;;;;;;;;;
treino;AB;luva;vaca;;;;;;;;;;;;;
treino;AB;cavalo;muleta;luva;;;;;;;;;;;;
treino;AB;tomate;tatu;bolo;;;;;;;;;;;;;;
treino;AB;tatu;vaca;tomate;;;;;;;;;;;;
treino;AB;luva;muleta;cavalo;tatu;;;;;;;;;;;;
treino;AB;cavalo;mala;tomate;luva;;;;;;;;;;
treino;AB;tomate;luva;cavalo;apito;bolo;;;;;;;;;
treino;AC;tatu;pipa;;;;;;;;;;;;;
treino;AC;luva;bico;;;;;;;;;;;;;
treino;AC;cavalo;tubo;tomate;;;;;;;;;;;;
treino;AC;tomate;tatu;tubo;;;;;;;;;;;;
treino;AC;tatu;luva;bico;;;;;;;;;;;
treino;AC;luva;pato;cavalo;pipa;;;;;;;;;;;
treino;AC;cavalo;luva;mala;fita;;;;;;;;;;;
treino;AC;tomate;tubo;luva;vaca;bolo;;;;;;;;;;
treino;BC;tatu;vaca;;;;;;;;;;;;;
treino;BC;luva;muleta;;;;;;;;;;;;;
treino;BC;cavalo;mala;bolo;;;;;;;;;;;;
treino;BC;tomate;tatu;apito;;;;;;;;;;;;
treino;CB;tatu;muleta;;;;;;;;;;;;;
treino;CB;luva;tubo;;;;;;;;;;;;;
treino;CB;cavalo;mala;bico;;;;;;;;;;;;
treino;CB;tomate;vovô;pipa;;;;;;;;;;;;
treino;CE;ta-tu;va-ca;;;;;;;;;;;;;
treino;CE;lu-va;ma-la;;;;;;;;;;;;;
treino;CE;ca-va-lo;pa-to;mu-le-ta;;;;;;;;;;;
treino;CE;to-ma-te;vo-vô;bi-co;;;;;;;;;;;;
treino;BE;ta-tu;vo-vô;;;;;;;;;;;;;
treino;BE;lu-va;mu-le-ta;;;;;;;;;;;;;
treino;BE;ca-va-lo;bo-lo;;;;;;;;;;;;;
treino;BE;to-ma-te;fi-ta;mu-le-ta;;;;;;;;;;;;
treino;BE;ta-tu;ma-la;pa-to;;;;;;;;;;;;
treino;BE;lu-va;tu-bo;a-pi-to;;;;;;;;;;;;
treino;BE;ca-va-lo;bo-lo;pi-pa;fi-ta;
treino;BE;to-ma-te;ma-la;fi-ta;pa-to;
treino;AE;ta-tu;pa-to;;;
treino;AE;lu-va;bi-co;;;
treino;AE;ca-va-lo;vo-vô;;;
treino;AE;to-ma-te;va-ca;pi-pa;;
treino;AE;ta-tu;bi-co;a-pi-to;;
treino;AE;lu-va;mu-le-ta;ma-la;;
treino;AE;ca-va-lo;tu-bo;a-pi-to;bi-co;
treino;AE;to-ma-te;va-ca;bo-lo;ma-la;
