Tipo de Repertorio;Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
treino;CB;fita;;;;;;;;;;;;;;
treino;AC;fita;muleta;;;;;;;;;;;;;
treino;BE;to-ma-te;pi-pa;;;;;;;;;;;;;
treino;AE;to-ma-te;tu-bo;;;;;;;;;;;;;
treino;BE;va-ca;bo-lo;fi-ta;;;;;;;;;;;;
treino;BE;va-ca;pi-pa;mu-le-ta;;;;;;;;;;;;
treino;BE;to-ma-te;mu-le-ta;ta-tu;;;;;;;;;;;;
treino;AE;va-ca;lu-va;ca-va-lo;;;;;;;;;;;;
treino;AE;fi-ta;tu-bo;mu-le-ta;;;;;;;;;;;;
treino;AE;va-ca;ma-la;pi-pa;;;;;;;;;;;;
